CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,DEPARTAMENTO_ORIGEN,ESTABLECIMIENTO_ORIG,DIRECCION_ORIG,TELEFONO_ORIG,TELEFONO_VALIDO,ZONA,DIRECCION_STD,DIR_AVENIDA,DIR_CALLE,DIR_KM,DIR_NUMERO,__KEY_MERGE_CAP__,DUP_CAPITAL_MERGE,DUP_CAPITAL_CODIGOS_DISTINTOS
16 - 01 - 0483 - 46,16 - 031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2 - 23 ZONA 4,79514754,PATRICIO NAJARRO ASENCIO,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,AltaVerapaz,LICEO AMERICANO DEL NORTE,5TA. CALLE 2 - 23 ZONA 4,79514754,True,4,"CALLE 2, 5TA. - 23",,2,,,"LICEO AMERICANO DEL NORTE|CALLE 2, 5TA. - 23|COBAN|ALTA VERAPAZ|DOBLE|FIN DE SEMANA|79514754",False,False
16 - 01 - 0558 - 46,16 - 005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3A. AVE. 6 - 23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,"INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE ""EMILIO ROSALES PONCE""",3A. AVE. 6 - 23 ZONA 11,79521468,True,11,3A. AVENIDA . 6 - 23,,,,,INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE|3A. AVENIDA . 6 - 23|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|79521468,False,False
16 - 01 - 0559 - 46,16 - 005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,3A. AVE. 6 - 23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,3A. AVE. 6 - 23 ZONA 11,79521468,True,11,3A. AVENIDA . 6 - 23,,,,,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE|3A. AVENIDA . 6 - 23|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|79521468,False,False
16 - 01 - 0563 - 46,16 - 031,ALTA VERAPAZ,COBAN,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,ALDEA LAS CONCHAS,79522793,PATRICIO NAJARRO ASENCIO,DAVID WALDEMAR URRUTIA CHOC,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,ALDEA LAS CONCHAS,79522793,True,,ALDEA LAS CONCHAS,,,,,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG|ALDEA LAS CONCHAS|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|79522793,False,False
16 - 01 - 0565 - 46,16 - 031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL 1 1 - 26 ZONA 1,51922050,PATRICIO NAJARRO ASENCIO,SAMANTHA GABRIELA DE LA CRUZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,AltaVerapaz,"INSTITUTO MIXTO PRIVADO ""SALUD Y DESARROLLO""",DIAGNONAL 1 1 - 26 ZONA 1,51922050,True,1,DIAGNONAL 1 1 - 26,,,,,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO|DIAGNONAL 1 1 - 26|COBAN|ALTA VERAPAZ|DOBLE|FIN DE SEMANA|51922050,False,False
16 - 01 - 0568 - 46,16 - 031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1 - 06 ZONA 3,79510413,PATRICIO NAJARRO ASENCIO,SILVIA BEATRIZ SOTO CHÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1 - 06 ZONA 3,79510413,True,3,"CALLE 1, 5A. - 06",,1,,,"INSTITUTO PRIVADO RAUL CHENAL HEINEMANN|CALLE 1, 5A. - 06|COBAN|ALTA VERAPAZ|NOCTURNA|DIARIO (REGULAR)|79510413",False,False
16 - 01 - 0572 - 46,16 - 031,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1 - 13 ZONA 3,79511103,PATRICIO NAJARRO ASENCIO,JAYRON ARIEL COY CACAO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1 - 13 ZONA 3,79511103,True,3,"CALLE 1, 7A. - 13",,1,,,"LICEO MIGUEL ANGEL ASTURIAS|CALLE 1, 7A. - 13|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|79511103",False,False
16 - 01 - 0573 - 46,16 - 031,ALTA VERAPAZ,COBAN,COLEGIO CRISTIANO BILINGUE VERBO,4A. CALLE A 4 - 32 ZONA 8,77945181,PATRICIO NAJARRO ASENCIO,LESLY EUGENIA CHOCOOJ VIDAURRE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,COLEGIO CRISTIANO BILINGUE VERBO,4A. CALLE A 4 - 32 ZONA 8,77945181,True,8,4A. CALLE A 4 - 32,,,,,COLEGIO CRISTIANO BILINGUE VERBO|4A. CALLE A 4 - 32|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|77945181,False,False
16 - 01 - 0574 - 46,16 - 005,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A. CALLE 11 - 10 ZONA 2,53530198,NORA LILIANA FIGUEROA HERNÁNDEZ,HÉCTOR ROLANDO CHUN POOU,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A. CALLE 11 - 10 ZONA 2,53530198,True,2,"CALLE 11, 2A. - 10",,11,,,"ESCUELA NACIONAL DE CIENCIAS COMERCIALES|CALLE 11, 2A. - 10|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|53530198",False,False
16 - 01 - 0583 - 46,16 - 031,ALTA VERAPAZ,COBAN,COLEGIO NUEVOS SENDEROS,"3A. CALLE 3 - 74, ZONA 3",79417300,PATRICIO NAJARRO ASENCIO,ZOYLA ARGENTINA MOLLINEDO ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,COLEGIO NUEVOS SENDEROS,"3A. CALLE 3 - 74, ZONA 3",79417300,True,3,"CALLE 3, 3A. - 74",,3,,,"COLEGIO NUEVOS SENDEROS|CALLE 3, 3A. - 74|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|79417300",False,False
16 - 01 - 0604 - 46,16 - 031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,"5A. CALLE 1 - 06, ZONA 3",79510413,PATRICIO NAJARRO ASENCIO,SILVIA BEATRIZ SOTO CHÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,"5A. CALLE 1 - 06, ZONA 3",79510413,True,3,"CALLE 1, 5A. - 06",,1,,,"INSTITUTO PRIVADO RAUL CHENAL HEINEMANN|CALLE 1, 5A. - 06|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|79510413",False,False
16 - 01 - 0609 - 46,16 - 031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL - IMEBI -,LOTIFICACION CHIVENCORRAL,30367501,PATRICIO NAJARRO ASENCIO,JUAN PASCUAL LUCAS ANTONIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL - IMEBI -,LOTIFICACION CHIVENCORRAL,30367501,True,,LOTIFICACION CHIVENCORRAL,,,,,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL - IMEBI - |LOTIFICACION CHIVENCORRAL|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|30367501,False,False
16 - 01 - 0612 - 46,16 - 031,ALTA VERAPAZ,COBAN,INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER,"CALZADA RABIN AJAU, ZONA 1",57565646,PATRICIO NAJARRO ASENCIO,THELMA MARTINA POP TZIR,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER,"CALZADA RABIN AJAU, ZONA 1",57565646,True,1,CALZADA RABIN AJAU,,,,,INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER|CALZADA RABIN AJAU|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|57565646,False,False
16 - 01 - 0613 - 46,16 - 031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO ANTON DE MONTESINOS,1A. CALLE 7 - 22 ZONA 3,77259205,PATRICIO NAJARRO ASENCIO,MARGARITA VILLALOBOS LIGORRÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""",1A. CALLE 7 - 22 ZONA 3,77259205,True,3,"CALLE 7, 1A. - 22",,7,,,"COLEGIO PARTICULAR MIXTO ANTON DE MONTESINOS|CALLE 7, 1A. - 22|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|77259205",False,False
16 - 01 - 0616 - 46,16 - 037,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SALACUIM,57655184,CESAR RIGOBERTO CUC CAAL,AXEL ABELARDO CHUB LEAL,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SALACUIM,57655184,True,,ALDEA SALACUIM,,,,,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|ALDEA SALACUIM|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|57655184,False,False
16 - 01 - 0642 - 46,16 - 005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA CHOVAL,53331646,NORA LILIANA FIGUEROA HERNÁNDEZ,GILDA ARACELY WELLMANN DUARTE,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA CHOVAL,53331646,True,,ALDEA CHOVAL,,,,,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|ALDEA CHOVAL|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|53331646,False,False
16 - 01 - 0651 - 46,16 - 031,ALTA VERAPAZ,COBAN,CENTRO DE FORMACION INTEGRAL CIUDAD DE LA ESPERANZA,6A. AV. 10 - 68 ZONA 12 COLONIA EL ESFUERZO I,77367652,PATRICIO NAJARRO ASENCIO,BYRON ANIBAL GÓMEZ GATICA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,CENTRO DE FORMACIÓN INTEGRAL CIUDAD DE LA ESPERANZA,6A. AV. 10 - 68 ZONA 12 COLONIA EL ESFUERZO I,77367652,True,12,"COLONIA EL ESFUERZO I, 6A. AVENIDA . 10 - 68",,,,,"CENTRO DE FORMACION INTEGRAL CIUDAD DE LA ESPERANZA|COLONIA EL ESFUERZO I, 6A. AVENIDA . 10 - 68|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|77367652",False,False
16 - 01 - 0652 - 46,16 - 037,ALTA VERAPAZ,COBAN,INSTITUTO MAYA COMUNITARIO K'AMOLB'E,ALDEA NIMLAJACOC,30621374,CESAR RIGOBERTO CUC CAAL,JOSE LINO QUIB CHE,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,INSTITUTO MAYA COMUNITARIO K'AMOLB'E,ALDEA NIMLAJACOC,30621374,True,,ALDEA NIMLAJACOC,,,,,INSTITUTO MAYA COMUNITARIO K'AMOLB'E|ALDEA NIMLAJACOC|COBAN|ALTA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|30621374,False,False
16 - 01 - 0664 - 46,16 - 031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. AVENIDA 2 - 23 ZONA 4,79514754,PATRICIO NAJARRO ASENCIO,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,LICEO AMERICANO DEL NORTE,5TA. AVENIDA 2 - 23 ZONA 4,79514754,True,4,"AVENIDA 2, 5TA. - 23",2,,,,"LICEO AMERICANO DEL NORTE|AVENIDA 2, 5TA. - 23|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|79514754",False,False
16 - 01 - 0668 - 46,16 - 031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,"5A CALLE 1 - 98, ZONA 3",57101061,PATRICIO NAJARRO ASENCIO,SUSELY BEATRIZ ELÍAS POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,COLEGIO PARTICULAR MIXTO IMPERIAL,"5A CALLE 1 - 98, ZONA 3",57101061,True,3,"CALLE 1, 5A - 98",,1,,,"COLEGIO PARTICULAR MIXTO IMPERIAL|CALLE 1, 5A - 98|COBAN|ALTA VERAPAZ|DOBLE|DIARIO (REGULAR)|57101061",False,False
16 - 01 - 0671 - 46,16 - 031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,2A. CALLE 12 - 23 ZONA 4,79521190,PATRICIO NAJARRO ASENCIO,JORGE SALVADOR JUÁREZ SIERRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA,2A. CALLE 12 - 23 ZONA 4,79521190,True,4,"CALLE 12, 2A. - 23",,12,,,"COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA|CALLE 12, 2A. - 23|COBAN|ALTA VERAPAZ|DOBLE|DIARIO (REGULAR)|79521190",False,False
16 - 01 - 0672 - 46,16 - 031,ALTA VERAPAZ,COBAN,ICA,11AVENIDA 1 - 10 ZONA 1,33509500,PATRICIO NAJARRO ASENCIO,LAIDY ANDREA CHOCOOJ TIUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ALTA VERAPAZ,AltaVerapaz,ICA,11AVENIDA 1 - 10 ZONA 1,33509500,True,1,11AVENIDA 1 - 10,,,,,ICA|11AVENIDA 1 - 10|COBAN|ALTA VERAPAZ|MATUTINA|DIARIO (REGULAR)|33509500,False,False
16 - 01 - 0678 - 46,16 - 031,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,3A. AVENIDA CINCO GUION DOCE (5 - 12),48979726,PATRICIO NAJARRO ASENCIO,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,AltaVerapaz,COLEGIO LA LIBERTAD,3A. AVENIDA CINCO GUION DOCE (5 - 12),48979726,True,,3A. AVENIDA CINCO GUION DOCE (5 - 12),,,,,COLEGIO LA LIBERTAD|3A. AVENIDA CINCO GUION DOCE (5 - 12)|COBAN|ALTA VERAPAZ|DOBLE|FIN DE SEMANA|48979726,False,False
16 - 01 - 0681 - 46,16 - 031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,"2A. CALLE 11 - 10, ZONA 2",79529830,PATRICIO NAJARRO ASENCIO,AMÉRICA NUILA LUTHER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,AltaVerapaz,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,"2A. CALLE 11 - 10, ZONA 2",79529830,True,2,"CALLE 11, 2A. - 10",,11,,,"INSTITUTO MIXTO PRIVADO SANTO DOMINGO|CALLE 11, 2A. - 10|COBAN|ALTA VERAPAZ|DOBLE|FIN DE SEMANA|79529830",False,False
